"Feature Name","Feature Description",Industry,Usecase
protocol_type,"type of the protocol, e.g. tcp, udp, etc.",telecommunication,"network traffic analysis and prediction"
network_service,"network service on the destination, e.g., http, telnet, etc.",telecommunication,"network traffic analysis and prediction"
src_bytes,"number of data bytes from source to destination",telecommunication,"network traffic analysis and prediction"
dst_bytes,"number of data bytes from destination to source",telecommunication,"network traffic analysis and prediction"
connection_flag,"normal or error status of the connection",telecommunication,"network traffic analysis and prediction"
same_host_flag,"1 if connection is from/to the same host/port; 0 otherwise",telecommunication,"network traffic analysis and prediction"
num_wrong_fragment,"number of wrong fragments",telecommunication,"network traffic analysis and prediction"
num_urgent_packet,"number of urgent packets",telecommunication,"network traffic analysis and prediction"
num_hot,"number of hot indicators",telecommunication,"network traffic analysis and prediction"
num_failed_logins,"number of failed login attempts",telecommunication,"network traffic analysis and prediction"
logged_in_flag,"1 if successfully logged in; 0 otherwise",telecommunication,"network traffic analysis and prediction"
num_compromised,"number of compromised conditions",telecommunication,"network traffic analysis and prediction"
root_shell_flag,"1 if root shell is obtained; 0 otherwise",telecommunication,"network traffic analysis and prediction"
su_attempted_flag,"1 if su root command attempted; 0 otherwise",telecommunication,"network traffic analysis and prediction"
num_root,"number of root accesses",telecommunication,"network traffic analysis and prediction"
num_file_creations,"number of file creation operations",telecommunication,"network traffic analysis and prediction"
num_shells,"number of shell prompts",telecommunication,"network traffic analysis and prediction"
num_access_files,"number of operations on access control files",telecommunication,"network traffic analysis and prediction"
num_outbound_cmds,"number of outbound commands in an ftp session",telecommunication,"network traffic analysis and prediction"
is_hot_login,"1 if the login belongs to the hot list; 0 otherwise",telecommunication,"network traffic analysis and prediction"
is_guest_login,"1 if the login is a guest login; 0 otherwise",telecommunication,"network traffic analysis and prediction"
num_same_host,"number of connections to the same host as the current connection in the past two seconds",telecommunication,"network traffic analysis and prediction"
srv_serror_rate,"% of connections that have SYN errors",telecommunication,"network traffic analysis and prediction"
srv_rerror_rate,"% of connections that have REJ errors",telecommunication,"network traffic analysis and prediction"
srv_same_host_rate,"% of connections to the same service",telecommunication,"network traffic analysis and prediction"
srv_diff_host_rate,"% of connections to different services",telecommunication,"network traffic analysis and prediction"
srv_count,"number of connections to the same service as the current connection in the past two seconds",telecommunication,"network traffic analysis and prediction"
srv_diff_host_rate,"% of connections to different hosts",telecommunication,"network traffic analysis and prediction"
bs,"Identity of each cellular base station in the public data",telecommunication,"network traffic analysis and prediction"
time_hour,"Hourly timestamp in UNIX epoch time (time zone GMT+8)",telecommunication,"network traffic analysis and prediction"
num_users,"Number of active users associated with specific base station and hour",telecommunication,"network traffic analysis and prediction"
num_packets,"Number of transferred packets associated with specific base station and hour",telecommunication,"network traffic analysis and prediction"
bytes,"A number of transferred bytes associated with a specific base station and hour",telecommunication,"network traffic analysis and prediction"
lon,"Relative longitude of the given base station",telecommunication,"network traffic analysis and prediction"
lat,"Relative latitude of the given base station",telecommunication,"network traffic analysis and prediction"
"page name","Name of the page visited",telecommunication,"network traffic analysis and prediction"
page_visit_date,"Date of visiting the wikipedia pages",telecommunication,"network traffic analysis and prediction"
num_page_visit,"Number of times a page visited in a day",telecommunication,"network traffic analysis and prediction"
"average call distance","Time between two consecutive call",telecommunication,"personality prediction"
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"personality prediction"
"basic phone use","number of calls, number of texts",telecommunication,"personality prediction"
response_rate,"number of call initiated, time to answer a text",telecommunication,"personality prediction"
"radius of gyration","radius of the smallest circle that contains all the places a user have been to on a given day",telecommunication,"personality prediction"
"home and call regularity","regularity at which a user is coming back home (home regularity) or receiving/making a call (call regularity)",telecommunication,"personality prediction"
"number of places and their entropy","places by grouping together the GPS points of a user that are less than 50m apart and by defining their center of mass as the lat-long coordinate of the place",telecommunication,"personality prediction"
"response rate and latency (text)","A text from a user (A) to be a response to a text received from another user (B) if it is sent within an hour after user A received the last text from user B. The response rate is the percentage of texts people respond to. The latency is the median time it takes
people to answer a text",telecommunication,"personality prediction"
"inter-event time","time elapsed between two events. This work then
consider both the average and variance of the inter-event time of ones' call,
text, call+text",telecommunication,"personality prediction"
"daily distance travelled","Daily Distance travel by user",telecommunication,"personality prediction"
num_calls,"total number of calls",telecommunication,"personality prediction"
gender,"Gender of the client",telecommunication,"personality prediction"
age,"age of customer",telecommunication,"personality prediction"
income,"annual income of customer",telecommunication,"personality prediction"
"android users' app usage and interaction","Different apps used by users and interaction of user with different apps.",telecommunication,"personality prediction"
"android app categories","Different categories of apps like Tools, Travel and Local, and Games",telecommunication,"personality prediction"
"cultural factors","Users' cultural factor",telecommunication,"personality prediction"
education,"Users' education level",telecommunication,"personality prediction"
msisdn,"mobile number of user",telecommunication,"sim swap detection"
location,"Customer location including city and region",telecommunication,"sim swap detection"
"subsciber activity","number of subscriber offers per day with their charging units",telecommunication,"sim swap detection"
age,"age of customer",telecommunication,"sim swap detection"
imei,"International mobile equipment identifier(Device Derial Number)",telecommunication,"sim swap detection"
"device type","telephones, telegraph, radio, microwave communication arrangements, fiber optics, satellites and the Internet",telecommunication,"sim swap detection"
imsi,"international mobile subscriber identity(number that uniquely identifies every user of a cellular network)",telecommunication,"sim swap detection"
isdn,"Integrated Services Digital Network(set of communication standards for simultaneous digital transmission of voice, video, data, and other network services over the digitalised circuits of the public switched telephone network)",telecommunication,"sim swap detection"
"subscriber's plan","Subscriber plan",telecommunication,"sim swap detection"
"call type","Voice, SMS, Data etc",telecommunication,"sim swap detection"
"call status","Idle, Ringing, Connected, Disconnected, Suspended, Resuming, Dialing, Queued, Parked, or Held",telecommunication,"sim swap detection"
"call duration","length of telephone calls transmitted on telecommunication networks",telecommunication,"sim swap detection"
"source ip address","address the packet was sent from",telecommunication,"sim swap detection"
aon,"age on cellular network in days",telecommunication,"sim swap detection"
recent_numbers_called,"recent numbers called (call log)",telecommunication,"sim swap detection"
security_info,"PIN or password, answers to security questions",telecommunication,"sim swap detection"
one_time_passcode,"SMS one-time passcode, email one-time passcode",telecommunication,"sim swap detection"
dob,"date of birth",telecommunication,"sim swap detection"
"email address","email address",telecommunication,"sim swap detection"
iccid,"SIM serial number",telecommunication,"sim swap detection"
"debug size","Debug is detecting and takes away errors from the computer system. Debug stands for the size of the debug directory table. Typically, Microsoft-executable files have a debug directory. Therefore, many benign applications may have a positive value for debug size.",telecommunication,"malware detection"
"debugrva (debug relative virtual address)","An RVA in the portable executable (PE) header, which has a value of zero, indicates the field has not used all tables, and structure fields must be united on their ordinary limits, with the possible exception of the debug information.",telecommunication,"malware detection"
"major image version","It is the file version. This record is user-definable and not connected to the task of the application. Many benign programs have more varieties and a larger image version set. Malware distributes a 0 value.",telecommunication,"malware detection"
"majorosversion (major operating system version)","It is the major operating system required to run .exe files.",telecommunication,"malware detection"
"exportrva (export relative virtual address)","RVA (relative virtual address) exports ordinals for table entry. The location is virtual to the commencement of the image base. The export address table holds the location of exported data, entry points, and absolutes. An ordinal value is used to index the export address table.",telecommunication,"malware detection"
"export size","Present the size of the export records. Only DLLs, not runtime applications, have export tables. So, the vote of this feature may be positive for clean files, which contain many DLLs and 0 for virus files.",telecommunication,"malware detection"
iatrva,"This means the relative-virtual address of the import-address table. The value of this feature is read chunks of 4096 bytes and cleanest files and 0 or a very large value for virus files.",telecommunication,"malware detection"
"major linker version","The major version linker produced the file to the PE header in the major linker version, and the resources size malware will be sometimes 0 in the section of PE header. Malware sometimes has 0 resources.",telecommunication,"malware detection"
"minor linker version","The minor version linker produced the file.",telecommunication,"malware detection"
"number of sections","The amount of virtual memory to standby for the initial thread's stack.",telecommunication,"malware detection"
"size of stack reserve","The amount of virtual memory to reserve for the initial thread's stack.",telecommunication,"malware detection"
"all characteristics","It is a set of flags indicating under which circumstances a dynamic-link library (DLL) initialization function",telecommunication,"malware detection"
"resource size","It symbolizes the dimensions of the resource section. Some malware records may have no resources. Benign files may have higher resources.",telecommunication,"malware detection"
machine,"Defines the architecture type of the computer. The program can be run only on a system that monitors this type.",telecommunication,"malware detection"
marital_status," is the client married (Yes, No)",telecommunication,"telco-based credit scoring"
location,"Customer location including city and region",telecommunication,"telco-based credit scoring"
"sms events","the number of SMS per day with corresponding charging units",telecommunication,"telco-based credit scoring"
income,"annual income of customer",telecommunication,"telco-based credit scoring"
"debit account activity","timing and amount of payments",telecommunication,"telco-based credit scoring"
"credit card activity","Information about when the cards were issued, the total credit limit, monthly values of how much of the credit remains and how often the customers have failed to repay their debt until twelve months after receiving the card",telecommunication,"telco-based credit scoring"
inb_transactions,"Number and amount of transactions made by customer through internet bank",telecommunication,"telco-based credit scoring"
call_charging_info,"charging info about calls",telecommunication,"telco-based credit scoring"
mms_charging_info,"charging info about mms",telecommunication,"telco-based credit scoring"
gender,"Gender of the client",telecommunication,"telco-based credit scoring"
"total day minutes","Daily total talk time",telecommunication,"telco-based credit scoring"
"average call distance","Time between two consecutive call",telecommunication,"telco-based credit scoring"
age,"age of customer",telecommunication,"telco-based credit scoring"
"radius of gyration","radius of the smallest circle that contains all the places a user have been to on a given day",telecommunication,"telco-based credit scoring"
"response rate and latency (text)","A text from a user (A) to be a response to a text received from another user (B) if it is sent within an hour after user A received the last text from user B. The response rate is the percentage of texts people respond to. The latency is the median time it takes
people to answer a text",telecommunication,"telco-based credit scoring"
"daily distance travelled","Daily Distance travel by user",telecommunication,"telco-based credit scoring"
"device type","telephones, telegraph, radio, microwave communication arrangements, fiber optics, satellites and the Internet",telecommunication,"telco-based credit scoring"
"call status","Idle, Ringing, Connected, Disconnected, Suspended, Resuming, Dialing, Queued, Parked, or Held",telecommunication,"telco-based credit scoring"
communications_entropy,"Communications time entropy, Communications entropy",telecommunication,"telco-based credit scoring"
num_calls,"total number of calls",telecommunication,"telco-based credit scoring"
device_brand,"brand of device",telecommunication,"telco-based credit scoring"
popular_antenna,"popular antenna",telecommunication,"telco-based credit scoring"
popular_antenna_entropy,"popular antenna entropy",telecommunication,"telco-based credit scoring"
OS,"device operating system",telecommunication,"telco-based credit scoring"
line_type,"device line type",telecommunication,"telco-based credit scoring"
line_quantity,"device line quantity",telecommunication,"telco-based credit scoring"
late_payments,"late payments",telecommunication,"telco-based credit scoring"
activation_elapsed_time,"months elapsed since activation",telecommunication,"telco-based credit scoring"
unique_calls,"number of unique call (SMS) correspondents",telecommunication,"telco-based credit scoring"
call_delta_degrees,"call (SMS) delta degrees",telecommunication,"telco-based credit scoring"
reciprocated_calls,"number of reciprocated call (SMS) events",telecommunication,"telco-based credit scoring"
avg_sms_reciprocation,"median of time between reciprocated SMS events",telecommunication,"telco-based credit scoring"
cnt_loans30,"Number of loans taken by user in last 30 days",telecommunication,"telco-based credit scoring"
maxamnt_loans30,"maximum amount of loan taken by the user in last 30 days",telecommunication,"telco-based credit scoring"
medianamnt_loans30,"Median of amounts of loan taken by the user in last 30 days",telecommunication,"telco-based credit scoring"
cnt_loans90,"Number of loans taken by user in last 90 days",telecommunication,"telco-based credit scoring"
payback30,"Average payback time in days over last 30 days",telecommunication,"telco-based credit scoring"
"recharge features:","Total number of recharges in a month, Minimum, maximum, average and standard deviation of recharge amounts in a month, Minimum, maximum, average and standard deviation of balances before recharges in a month",telecommunication,"telco-based credit scoring"
cnt_loans180,"Number of loans taken by user in last 180 days",telecommunication,"telco-based credit scoring"
minamnt_loans30,"minimum amount of loan taken by the user in last 30 days",telecommunication,"telco-based credit scoring"
stdamnt_loans30,"standard deviation of the amount of loan taken by the user in last 30 days",telecommunication,"telco-based credit scoring"
minpayback30,"minimum payback time in days over last 30 days",telecommunication,"telco-based credit scoring"
maxpayback30,"maximum payback time in days over last 30 days",telecommunication,"telco-based credit scoring"
stdpayback30,"standard deviation of payback time in days over last 30 days",telecommunication,"telco-based credit scoring"
days_consecutive_borrow,"average number of days between two consecutive borrowing",telecommunication,"telco-based credit scoring"
speed,"Average, minimum, maximum and standard deviation of speed",telecommunication,"transportation model detection"
"latitude, longitude","Average, minimum, maximum and standard deviation of geographical distance between each location reading and the centroid of location points",telecommunication,"transportation model detection"
"accelerometer magnitude(fa)","Average, minimum, maximum, standard deviation,
coefficient of variance, interquantile range of frequency",telecommunication,"transportation model detection"
"validated stops/modes","Minimum and average distance and density",telecommunication,"transportation model detection"
"deleted stops/modes","Minimum and average distance and density",telecommunication,"transportation model detection"
wi-fi,"Common wi-fi access points",telecommunication,"transportation model detection"
"bus/train network data","Common bus/train line",telecommunication,"transportation model detection"
"service set identifiers (ssid's)","For android devices, Service Set Identifiers (SSID's) for all the wifi access points within scanning range of the device are recorded every minute",telecommunication,"transportation model detection"
"gis features","Information about bus and train stops and routes(Parking, Bus Stop, Train Stop, Shops, Recreation, Eating place, Education, Amenities,Religious, Health, Taxi, Train route, Bus route)",telecommunication,"transportation model detection"
poi,"points of interests (POI) to represent GIS information. density of POIs and minimum and average distance from each type of POI within the radius r of a segment",telecommunication,"transportation model detection"
"network location","GPS or GSM/Wifi",telecommunication,"transportation model detection"
"physical motion of a solid object","the acceleration force that is applied to a device on all three physical axes",telecommunication,"transportation model detection"
"device's rate of rotation","Gyroscope measures a device's rate of rotation around each of the three physical axes. It can provide orientation information, and provides an additional dimension to the information supplied by the accelerometer",telecommunication,"transportation model detection"
"geomagnetic field","Magnetometer measures the ambient geomagnetic field for all three physical axes. It provides mobile phones with a simple orientation in relation to the Earth's magnetic field",telecommunication,"transportation model detection"
"cellular network signals","The fluctuation pattern of cell identifiers together with signal strength can provide information on the position of a phone.",telecommunication,"transportation model detection"
"user's position and velocity","current location and velocity of user(can be find using cellular network signals)",telecommunication,"transportation model detection"
"blutooth related features","Bluetooth identifiers, names and types of devices in their vicinity",telecommunication,"transportation model detection"
arpu,"Average revenue per user","banking financial service and insurance","financial statement fraud detection"
assets,"total assets","banking financial service and insurance","financial statement fraud detection"
ih,"shares held by mutual funds","banking financial service and insurance","financial statement fraud detection"
inh,"shares held by insiders","banking financial service and insurance","financial statement fraud detection"
ni,"net income","banking financial service and insurance","financial statement fraud detection"
ni/r,"net income to revenues","banking financial service and insurance","financial statement fraud detection"
nm,"net margin","banking financial service and insurance","financial statement fraud detection"
om,"operating margin","banking financial service and insurance","financial statement fraud detection"
roe,"return on equity","banking financial service and insurance","financial statement fraud detection"
roa,"return on assets","banking financial service and insurance","financial statement fraud detection"
ev/ebit,"enterprise value to earnings before interest and taxes","banking financial service and insurance","financial statement fraud detection"
ev/ebitda,"enterprise value to earnings before interest, taxes, depreciation and amortization","banking financial service and insurance","financial statement fraud detection"
"ncwc gr","growth in NCWC","banking financial service and insurance","financial statement fraud detection"
ta/r,"total assets to revenues","banking financial service and insurance","financial statement fraud detection"
cash/r,"cash to revenues","banking financial service and insurance","financial statement fraud detection"
ncwc/r,"non-cash working capital to revenues","banking financial service and insurance","financial statement fraud detection"
fa/ta,"fixed assets to total assets","banking financial service and insurance","financial statement fraud detection"
"r gr","growth in revenues last year","banking financial service and insurance","financial statement fraud detection"
"r exp","expect. growth in revenues (next 5 years)","banking financial service and insurance","financial statement fraud detection"
sgae/r,"SG&A expenditures to revenues","banking financial service and insurance","financial statement fraud detection"
ncwc,"non-cash working capital","banking financial service and insurance","financial statement fraud detection"
bd/ta,"book debt to total assets","banking financial service and insurance","financial statement fraud detection"
div/p,"beta regression coefficient (3 year)","banking financial service and insurance","financial statement fraud detection"
eps,"dividends to stock price","banking financial service and insurance","financial statement fraud detection"
"eps gr","earnings per share growth in earnings per share (last 5 years)","banking financial service and insurance","financial statement fraud detection"
"eps exp","expected growth in EPS (next 5 years)","banking financial service and insurance","financial statement fraud detection"
p/e,"stock price to earnings","banking financial service and insurance","financial statement fraud detection"
peg,"stock price to earnings to EPS growth","banking financial service and insurance","financial statement fraud detection"
pbv,"price to book value ratio","banking financial service and insurance","financial statement fraud detection"
rr,"reinvestment rate","banking financial service and insurance","financial statement fraud detection"
ps,"stock price to sales","banking financial service and insurance","financial statement fraud detection"
close/last,"Stock price at the closing of the trading day","banking financial service and insurance","stock price prediction"
volume,"Number of shares traded during the trading day","banking financial service and insurance","stock price prediction"
open,"Stock price at the opening of the trading day","banking financial service and insurance","stock price prediction"
high,"Maximum stock price during the trading day","banking financial service and insurance","stock price prediction"
low,"Minimum stock price during the trading day","banking financial service and insurance","stock price prediction"
marital_status," is the client married (Yes, No)","banking financial service and insurance","recommender system"
gender,"Gender of the client","banking financial service and insurance","recommender system"
location,"Customer location including city and region","banking financial service and insurance","recommender system"
customer_country,"country of the customer","banking financial service and insurance","recommender system"
income,"annual income of customer","banking financial service and insurance","recommender system"
property_saving_insurance,"real estate/ building society savings agreement/life insurance/no property","banking financial service and insurance","recommender system"
foreign_worker_flag,yes/no,"banking financial service and insurance","recommender system"
employee_index,"Employee flag: Active, ex employed, filial, not employee, passive","banking financial service and insurance","recommender system"
new_customer,"New customer flag. 1 if the customer registered in the last 6 months.","banking financial service and insurance","recommender system"
relationship_months,"Customer seniority (in months)","banking financial service and insurance","recommender system"
relationship_flag,"1 (First/Primary), 99 (Primary customer during the month but not at the end of the month)","banking financial service and insurance","recommender system"
customer_type_begin_month,"Customer type at the beginning of the month ,1 (First/Primary customer), 2 (co-owner ),P (Potential),3 (former primary), 4(former co-owner)","banking financial service and insurance","recommender system"
cust_relation_type_begin_month,"Customer relation type at the beginning of the month, A (active), I (inactive), P (former customer),R (Potential)","banking financial service and insurance","recommender system"
residence_flag,"Residence flag Yes/No if the residence country is the same than the bank country","banking financial service and insurance","recommender system"
channel_when_joined,"channel used by the customer to join","banking financial service and insurance","recommender system"
deceased_flag,"Deceased flag. Yes/No","banking financial service and insurance","recommender system"
address_type,"Address type e.g. primary","banking financial service and insurance","recommender system"
customer_address,"segmentation: 01 - VIP, 02 - Individuals 03 - college graduated","banking financial service and insurance","recommender system"
activity_flag,"is the client active (1, 0)","banking financial service and insurance","recommender system"
gross_household_income,"Gross income of the household","banking financial service and insurance","recommender system"
segment,"particular Account","banking financial service and insurance","recommender system"
"loan status","Flag indicating whether the user paid back the credit amount within 5 days of issuing the loan{1:success, 0:failure}","banking financial service and insurance","recommender system"
education,"Users' education level","banking financial service and insurance","recommender system"
job,"unemployed/unskilled - resident/skilled employee/management/highly qualified employee","banking financial service and insurance","recommender system"
"total number of employees","the number of employees engaged at the place of business each regular working day during the preceding calendar year","banking financial service and insurance","recommender system"
housing_loan_flag,"has housing loan ?","banking financial service and insurance","recommender system"
personal_loan_flag,"has personal loan ?","banking financial service and insurance","recommender system"
contact_communication_type,"contact communication type (cellular, telephone)","banking financial service and insurance","recommender system"
last_contact_month,"last contact month of year","banking financial service and insurance","recommender system"
last_contact_dow,"last contact day of the year","banking financial service and insurance","recommender system"
last_contact_duration,"last contact durations in seconds","banking financial service and insurance","recommender system"
compaign_number_contacts,"number of contacts performed during this campaign and for this client (numeric, includes last contact)","banking financial service and insurance","recommender system"
pdays,"number of days that passed by after the client was last contacted from a previous campaign (numeric; 999 means client was not previously contacted)","banking financial service and insurance","recommender system"
previous,"number of contacts performed before this campaign and for this client (numeric)","banking financial service and insurance","recommender system"
poutcomes,"outcome of the previous marketing campaign (categorical: 'failure','nonexistent','success')","banking financial service and insurance","recommender system"
emp.var.rate,"employment variation rate - quarterly indicator (numeric)","banking financial service and insurance","recommender system"
cons.price.idx,"consumer price index - monthly indicator (numeric)","banking financial service and insurance","recommender system"
cons.cond.idxx,"consumer confidence index - monthly indicator (numeric)","banking financial service and insurance","recommender system"
euribor3m,"euribor 3 month rate - daily indicator (numeric)","banking financial service and insurance","recommender system"
card_type,"Card type","banking financial service and insurance","recommender system"
credit_limit,"Limit of Credit Card for user","banking financial service and insurance","recommender system"
"card name","Name of the card","banking financial service and insurance","recommender system"
"bank name","Name of the bank to which card is associated","banking financial service and insurance","recommender system"
url,"URL of the bank credit card","banking financial service and insurance","recommender system"
"interest rate","Interest rate on card","banking financial service and insurance","recommender system"
cash_withdrawal_limit_per_trans,"Maximum limit of cash withdrawal per transactions","banking financial service and insurance","recommender system"
cash_withdrawal_limit_per_day,"Maximum limit of cash withdrawal per day","banking financial service and insurance","recommender system"
international_trans_available,"is there any international transaction service available","banking financial service and insurance","recommender system"
balance_transf_available,"is balance transfer service available?","banking financial service and insurance","recommender system"
reward,"types of rewards available on transactions","banking financial service and insurance","recommender system"
"loan status","Flag indicating whether the user paid back the credit amount within 5 days of issuing the loan{1:success, 0:failure}","banking financial service and insurance","credit risk modeling"
income,"annual income of customer","banking financial service and insurance","credit risk modeling"
housing,"Categorical variable indicating home ownership. Values are Rent, Home Mortgage, and Own. If the value is OWN, then the customer is a home owner with no mortgage.","banking financial service and insurance","credit risk modeling"
"credit score","A value between 0 and 800 indicating the riskiness of the borrower’s credit history.","banking financial service and insurance","credit risk modeling"
"current loan amount","This is the loan amount that was either completely paid off, or the amount that was defaulted.","banking financial service and insurance","credit risk modeling"
loan_term,"A categorical variable indicating if it is a short term or long term loan.","banking financial service and insurance","credit risk modeling"
"years in current job","A categorical variable indicating how many years the customer has been in their current job.","banking financial service and insurance","credit risk modeling"
loan_purpose,"A description of the purpose of the loan.","banking financial service and insurance","credit risk modeling"
"monthly debt","The customer's monthly payment for their existing loans","banking financial service and insurance","credit risk modeling"
"years of credit history","The years since the first entry in the customer's credit history","banking financial service and insurance","credit risk modeling"
"months since last delinquent","Months since the last loan delinquent payment","banking financial service and insurance","credit risk modeling"
"number of open accounts","The total number of open credit cards","banking financial service and insurance","credit risk modeling"
"number of credit problems","The number of credit problems in the customer records.","banking financial service and insurance","credit risk modeling"
"current credit balance","The current total debt for the customer","banking financial service and insurance","credit risk modeling"
"maximum open credit","The maximum credit limit for all credit sources.","banking financial service and insurance","credit risk modeling"
bankruptcies,"The number of bankruptcies","banking financial service and insurance","credit risk modeling"
"tax liens","The number of tax liens.","banking financial service and insurance","credit risk modeling"
roe,"return on equity","banking financial service and insurance","credit risk modeling"
ncotl,"Credit Risk = Net Charge Off (impairments) / Total Loans and Advances of Bank i in time t","banking financial service and insurance","credit risk modeling"
nplr,"Credit Risk = Non Performing Loans / Total Loans and Advances of Bank i in time t","banking financial service and insurance","credit risk modeling"
pppntla,"Credit Risk = Pre-Provision Profit / Net Total Loans and Advances of Bank i in time t","banking financial service and insurance","credit risk modeling"
bank_size,"Bank Size = the log of Total Assets of Bank i in time t","banking financial service and insurance","credit risk modeling"
gro,"Growth = Growth in Bank Interest income, year on year.","banking financial service and insurance","credit risk modeling"
tda,"Leverage = the ratio of Total Debt to Total Net Assets for Bank i in time t. A measure for bank capital structure.","banking financial service and insurance","credit risk modeling"
gender,"Gender of the client","banking financial service and insurance","credit risk modeling"
"other debtors / guarantors",none/co-applicant/guarantors,"banking financial service and insurance","credit risk modeling"
foreign_worker_flag,yes/no,"banking financial service and insurance","credit risk modeling"
"interest rate","Interest rate on card","banking financial service and insurance","credit risk modeling"
"total income, ti","Total monthly income, and used log for transformed it.","banking financial service and insurance","credit risk modeling"
"company's type, ct","Applicant works in a credible company or not","banking financial service and insurance","credit risk modeling"
log_loan_amount,"Loan amount, and used log for transformed it.","banking financial service and insurance","credit risk modeling"
loan_duration,"Loan duration in months","banking financial service and insurance","credit risk modeling"
"debt payment ratio, dpr","Total debt divided by total income (i.e. DPR measures the applicant's repaying ability: high DPR ratio points to high credit risk, whereas low DPR ratio points to a good credit application)","banking financial service and insurance","credit risk modeling"
marital_status," is the client married (Yes, No)","banking financial service and insurance","credit risk modeling"
location,"Customer location including city and region","banking financial service and insurance","credit risk modeling"
age,"age of customer","banking financial service and insurance","credit risk modeling"
assets,"total assets","banking financial service and insurance","credit risk modeling"
"no. of dependents","Demographic Variables","banking financial service and insurance","credit risk modeling"
"total number of employees","the number of employees engaged at the place of business each regular working day during the preceding calendar year","banking financial service and insurance","credit risk modeling"
gross_household_income,"Gross income of the household","banking financial service and insurance","credit risk modeling"
"monetary values of each product/ service used by the customer","Monetary values: total assets values of the specific services used by the customer (checking and saving accounts, EFT, credit card, loans, etc.) in local currency value of them in foreign currencies","banking financial service and insurance","credit risk modeling"
monthly_household_cost,"monthly cost of household","banking financial service and insurance","credit risk modeling"
employment_type,"type of employment","banking financial service and insurance","credit risk modeling"
avg_CA_balance,"average balance in current account","banking financial service and insurance","credit risk modeling"
loans_defaulted,"loans defaulted or delinquent","banking financial service and insurance","credit risk modeling"
"no. annual payments","number of payments per year","banking financial service and insurance","credit risk modeling"
"credit history","no credits taken/all credits paid back duly/existing credits paid back duly till now/delay in paying off in the past/critical account/ other credits existing (not at this bank)","banking financial service and insurance","credit risk modeling"
roa,"return on assets","banking financial service and insurance","credit risk modeling"
eps,"dividends to stock price","banking financial service and insurance","credit risk modeling"
"current ratio","Total current assets / Total current liabilities","banking financial service and insurance","credit risk modeling"
"quick ratio","(Current Assets - Inventory)/ Current Liabilities","banking financial service and insurance","credit risk modeling"
"gross profit margin","Gross income / Sales","banking financial service and insurance","credit risk modeling"
"operating income margin","Operating income / Sales","banking financial service and insurance","credit risk modeling"
"net profit margin","Net Income / Sales","banking financial service and insurance","credit risk modeling"
"sales growth(in past 2 years)","(Current Year's sales - Last Year's sales) / (Last Year's sales) * 100","banking financial service and insurance","credit risk modeling"
"debt to equity ratio","Total Debt / Total Equity","banking financial service and insurance","credit risk modeling"
"total debt to assets","Total Debt / Total Assets","banking financial service and insurance","credit risk modeling"
"interest coverage ratio","EBIT / Interest","banking financial service and insurance","credit risk modeling"
"debt service coverage ratio","(Net Income + Finance Cost + Depreciation) / (Repayments of long term loans + Finance Cost)","banking financial service and insurance","credit risk modeling"
"debt leverage","Total Liabilities/EBITDA","banking financial service and insurance","credit risk modeling"
"receivable turnover days","Sales / (Accounts Receivable/365)","banking financial service and insurance","credit risk modeling"
"sales in inventory","Inventory /(Cost of goods sold/365)","banking financial service and insurance","credit risk modeling"
"payable turnover - days","Sales / (Accounts Payable/365)","banking financial service and insurance","credit risk modeling"
"price earnings (pe) ratio","Market price per share / EPS","banking financial service and insurance","credit risk modeling"
"altman z-score",1.2*X1+1.4*X2+3.3*X3+0.6*X4+1*X5,"banking financial service and insurance","credit risk modeling"
"credit rating","From AAA to C","banking financial service and insurance","credit risk modeling"
"log amount","Logarithm of loan amount","banking financial service and insurance","credit risk modeling"
frequency,"Frequency of loan repayment. Monthly coded as 0 and weekly as 1","banking financial service and insurance","credit risk modeling"
"annualized rate","Interest rate computed on annual scale","banking financial service and insurance","credit risk modeling"
"no. of repayment","Number of repayments made to offset the loan","banking financial service and insurance","credit risk modeling"
employment_status,"present employment status of customer","banking financial service and insurance","credit risk modeling"
"assets rotation"," income sales/total assets","banking financial service and insurance","credit risk modeling"
productivity," gross utility/operating costs","banking financial service and insurance","credit risk modeling"
liquidity," cash/total asset liquidity","banking financial service and insurance","credit risk modeling"
"liquidity rotations"," cash/income sales 360","banking financial service and insurance","credit risk modeling"
leverage1," total liabilities/(total liabilities + shareholders' total equity)","banking financial service and insurance","credit risk modeling"
leverage2," total liabilities/shareholders' equity","banking financial service and insurance","credit risk modeling"
zone,"Geographical location of the agency or branch. Dummy variable: (0) central zone, (1) outskirts","banking financial service and insurance","credit risk modeling"
old,"Duration as a borrower of the MFI. Numeric variable","banking financial service and insurance","credit risk modeling"
previous_loan_grant,"Previously granted credits. Numeric variable","banking financial service and insurance","credit risk modeling"
loan_grant,"Loans granted in the last year. Numeric variable","banking financial service and insurance","credit risk modeling"
loan_denied,"Previously denied loans. Numeric variable","banking financial service and insurance","credit risk modeling"
microbusiness_sector,"Activity sector of the micro-business. Categorical variable: (0) commerce, (1) agriculture, (2) production, (3) service","banking financial service and insurance","credit risk modeling"
microcredit_purpose,"Destination of microcredit. Dummy variable: (0) work capital, (1) fixed asset","banking financial service and insurance","credit risk modeling"
mfi_class,"MFI customer classification Dummy variable: (0) normal customer, (1) customer with repayment problems of any sort","banking financial service and insurance","credit risk modeling"
